Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2019,Pierce,WA,Truck,0,0,0,139073,139073,0
February 28 2021,Chelan,WA,Passenger,301,88,389,54481,54870,0.71
February 28 2018,Wahkiakum,WA,Passenger,0,2,2,2860,2862,0.07
January 31 2018,Fulton,GA,Passenger,1,0,1,107,108,0.93
November 30 2021,Hamilton,IN,Passenger,2,0,2,35,37,5.41
August 31 2020,Howard,IN,Passenger,0,1,1,3,4,25
June 30 2020,Stevens,WA,Truck,0,0,0,18641,18641,0
June 30 2018,Benton,WA,Truck,0,0,0,41020,41020,0
March 31 2022,Skagit,WA,Truck,1,0,1,32520,32521,0
March 31 2017,Whitman,WA,Passenger,9,18,27,21932,21959,0.12
November 30 2021,Albemarle,VA,Passenger,2,0,2,22,24,8.33
January 31 2021,Orange,CA,Passenger,5,3,8,469,477,1.68
October 31 2017,New Haven,CT,Passenger,0,1,1,53,54,1.85
November 30 2020,Honolulu,HI,Passenger,5,2,7,471,478,1.46
November 30 2020,Pulaski,MO,Passenger,1,0,1,150,151,0.66
January 31 2022,Island,WA,Truck,1,0,1,21427,21428,0
May 31 2022,Chelan,WA,Truck,2,0,2,23048,23050,0.01
December 31 2020,Missoula,MT,Passenger,1,0,1,71,72,1.39
November 30 2020,Lane,OR,Passenger,0,1,1,148,149,0.67
January 31 2023,Polk,OR,Passenger,1,1,2,19,21,9.52
May 31 2019,Whatcom,WA,Truck,2,0,2,42813,42815,0
May 31 2017,Volusia,FL,Passenger,0,1,1,48,49,2.04
August 31 2022,Pacific,WA,Truck,0,0,0,7846,7846,0
November 30 2020,Penobscot,ME,Passenger,0,1,1,10,11,9.09
July 31 2023,Jackson,OK,Passenger,0,1,1,37,38,2.63
November 30 2017,Howard,MD,Passenger,0,2,2,93,95,2.11
August 31 2017,Okanogan,WA,Passenger,4,18,22,25661,25683,0.09
August 31 2023,Skamania,WA,Passenger,115,56,171,8061,8232,2.08
October 31 2023,Washoe,NV,Passenger,2,0,2,50,52,3.85
August 31 2018,Nueces,TX,Passenger,1,1,2,87,89,2.25
February 28 2022,Okaloosa,FL,Passenger,0,1,1,114,115,0.87
July 31 2017,Island,WA,Passenger,121,142,263,60248,60511,0.43
May 31 2021,Lewis,WA,Truck,0,0,0,26888,26888,0
November 30 2021,Dorchester,SC,Passenger,1,0,1,75,76,1.32
March 31 2022,St. Louis,MO,Passenger,2,0,2,75,77,2.6
August 31 2023,Stevens,WA,Truck,2,0,2,18701,18703,0.01
October 31 2021,Wahkiakum,WA,Truck,0,0,0,1826,1826,0
July 31 2022,Stafford,VA,Passenger,2,1,3,92,95,3.16
January 31 2020,Wayne,MI,Passenger,0,1,1,60,61,1.64
January 31 2023,Isle of Wight,VA,Passenger,0,1,1,18,19,5.26
December 31 2020,Frederick,MD,Passenger,1,1,2,66,68,2.94
September 30 2017,Fulton,GA,Passenger,1,0,1,111,112,0.89
May 31 2023,Grays Harbor,WA,Truck,6,0,6,20951,20957,0.03
August 31 2023,San Benito,CA,Passenger,1,0,1,5,6,16.67
November 30 2020,Clallam,WA,Truck,1,0,1,21774,21775,0
January 31 2019,DeKalb,GA,Passenger,1,0,1,81,82,1.22
November 30 2022,Douglas,CO,Passenger,0,1,1,73,74,1.35
April 30 2020,Pacific,WA,Truck,0,0,0,7660,7660,0
June 30 2023,Arlington,VA,Passenger,1,0,1,116,117,0.85
June 30 2021,Platte,MO,Passenger,1,0,1,19,20,5
November 30 2020,El Paso,TX,Passenger,3,0,3,407,410,0.73
March 31 2020,San Joaquin,CA,Passenger,1,0,1,139,140,0.71
November 30 2018,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
October 31 2017,Cowlitz,WA,Truck,0,0,0,28112,28112,0
May 31 2023,Benton,WA,Truck,23,0,23,43158,43181,0.05
December 31 2020,Spokane,WA,Passenger,886,546,1432,320879,322311,0.44
May 31 2021,Frederick,MD,Passenger,1,1,2,63,65,3.08
August 31 2023,Mohave,AZ,Passenger,1,0,1,35,36,2.78
November 30 2020,Skamania,WA,Truck,0,0,0,4007,4007,0
April 30 2024,Franklin,WA,Truck,14,0,14,20799,20813,0.07
November 30 2019,Grays Harbor,WA,Passenger,99,99,198,48337,48535,0.41
September 30 2021,Providence,RI,Passenger,1,0,1,27,28,3.57
April 30 2024,Hawaii,HI,Passenger,1,0,1,28,29,3.45
July 31 2021,Wilson,NC,Passenger,1,0,1,0,1,100
March 31 2018,Skagit,WA,Truck,1,0,1,31916,31917,0
